stop_sequence,from_id,to_id,scheduled_time,status,line,type,day,part_of_the_day,delay
3.0,78,38417,4,departed,Main Line,NJ Transit,Thursday,,0
4.0,153,152,4,departed,Montclair-Boonton,NJ Transit,Thursday,,0
6.0,12,76,4,departed,Gladstone Branch,NJ Transit,Thursday,,0
7.0,120,102,4,departed,Raritan Valley,NJ Transit,Thursday,,0
1.0,148,148,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
8.0,70,127,4,departed,Northeast Corrdr,NJ Transit,Thursday,,1
10.0,145,136,4,departed,Morristown Line,NJ Transit,Thursday,,0
5.0,103,83,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
4.0,38417,128,4,departed,Main Line,NJ Transit,Thursday,,0
5.0,152,14,4,departed,Montclair-Boonton,NJ Transit,Thursday,,0
1.0,74,74,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
1.0,124,124,4,departed,Princeton Shuttle,NJ Transit,Thursday,,0
3.0,122,79,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
5.0,109,41,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
7.0,76,88,4,departed,Gladstone Branch,NJ Transit,Thursday,,0
8.0,102,44,4,departed,Raritan Valley,NJ Transit,Thursday,,0
10.0,158,37953,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
2.0,105,38187,5,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
11.0,136,87,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
13.0,107,38187,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
1.0,35,35,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
7.0,37169,139,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
6.0,14,50,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
8.0,88,143,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
5.0,128,3,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
1.0,32906,32906,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
2.0,148,32905,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
4.0,39,55,5,departed,Atl. City Line,NJ Transit,Thursday,early_morning,1
4.0,79,141,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,124,125,5,estimated,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
9.0,127,83,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
1.0,123,123,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
6.0,41,70,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
7.0,57,149,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,1
12.0,87,81,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
7.0,50,19,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
9.0,44,155,5,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
9.0,143,48,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
6.0,3,151,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
3.0,113,86,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
2.0,74,73,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
8.0,139,119,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
11.0,37953,107,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,13,13,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,148,148,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
5.0,141,15,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,32906,103,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
10.0,48,17,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
7.0,70,127,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
1.0,129,129,5,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
7.0,151,64,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
1.0,105,105,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
8.0,149,137,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
10.0,83,84,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
13.0,81,140,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
10.0,155,32,5,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
2.0,35,34,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
3.0,32905,125,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
3.0,38187,107,5,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
1.0,54,54,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
3.0,73,130,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,142,142,5,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
1.0,49,49,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
2.0,129,138,5,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
3.0,34,94,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
8.0,64,131,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
2.0,13,122,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
3.0,103,38,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
6.0,15,22,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,38081,38081,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
4.0,86,26,5,departed,Main Line,NJ Transit,Thursday,early_morning,1
8.0,19,106,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
9.0,119,158,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,125,125,5,departed,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
11.0,17,99,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
6.0,83,37953,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
8.0,127,11,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
14.0,140,112,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
12.0,107,38187,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,63,106,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
9.0,131,52,5,departed,Main Line,NJ Transit,Thursday,early_morning,1
11.0,84,38,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
2.0,148,32905,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
7.0,22,8,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,49,117,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
2.0,38081,89,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
11.0,32,31,5,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
12.0,99,104,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
2.0,142,100,5,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
4.0,130,85,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
4.0,38,84,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
9.0,137,144,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
4.0,107,37953,5,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
3.0,122,79,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
5.0,55,9,5,departed,Atl. City Line,NJ Transit,Thursday,early_morning,0
10.0,158,11,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
9.0,11,158,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
3.0,138,24,5,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
3.0,89,95,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
4.0,94,91,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
15.0,112,23,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
2.0,125,124,5,estimated,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
2.0,105,38187,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
10.0,52,58,5,departed,Main Line,NJ Transit,Thursday,early_morning,1
12.0,38,103,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
8.0,8,4,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
5.0,37953,109,5,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
3.0,117,45,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
4.0,24,21,5,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
13.0,104,145,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
3.0,106,37,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
12.0,31,38105,5,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
4.0,95,150,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
7.0,37953,107,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
4.0,79,141,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
3.0,100,118,5,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
4.0,37,23,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
5.0,91,92,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
